Epoch,Avg_Train_Loss,Avg_Val_Loss,Avg_Train_Accuracy,Avg_Val_Accuracy
1,0.41914928,0.38714886,0.8211152,0.85365593
2,0.38388598,0.37144172,0.8398717,0.85365593
3,0.37798387,0.3739049,0.83899426,0.85365593
4,0.37829077,0.37264413,0.8417782,0.85365593
5,0.3776086,0.37013102,0.8385757,0.85365593
6,0.3740785,0.36844084,0.8396353,0.85365593
7,0.37719643,0.36917448,0.8382451,0.85365593
8,0.37740955,0.37638417,0.8402827,0.85365593
9,0.37823555,0.36622664,0.8389837,0.85365593
10,0.37385482,0.36656877,0.83666426,0.85365593
11,0.3801209,0.35968015,0.8361868,0.85365593
12,0.35662273,0.35053435,0.84793836,0.868526
13,0.3525092,0.34194043,0.8568772,0.88436264
14,0.3413571,0.3308927,0.86471057,0.88469106
15,0.3315541,0.30921194,0.8639508,0.8870532
16,0.32344124,0.30834106,0.8621791,0.8868956
17,0.30952948,0.29218474,0.86348873,0.88626194
18,0.30589667,0.30858082,0.8647856,0.8865167
19,0.2838688,0.2610274,0.8664316,0.8907987
20,0.27584597,0.275498,0.86976904,0.8886041
21,0.27301976,0.24980782,0.8671075,0.8928799
22,0.26613304,0.2533509,0.8681715,0.8934371
23,0.25556827,0.24801503,0.87254006,0.89431393
24,0.24473783,0.2358135,0.87693006,0.8999497
25,0.24588451,0.2301309,0.8778258,0.9025528
26,0.23986956,0.2395381,0.87920135,0.90083784
27,0.23994704,0.23830472,0.8780685,0.90176266
28,0.2361734,0.22192474,0.8828218,0.9063679
29,0.226653,0.21400328,0.88506514,0.9089122
30,0.22148983,0.2256238,0.8852696,0.9058409
31,0.22240475,0.21769667,0.88861406,0.90986365
32,0.22004317,0.20345747,0.88646543,0.9120933
33,0.21439944,0.20435844,0.8909457,0.91298944
34,0.21430749,0.20067964,0.88811207,0.9133425
35,0.22056293,0.20835738,0.8895577,0.9117266
36,0.2153086,0.20067564,0.8868229,0.91457397
37,0.21141946,0.21339415,0.8923557,0.9118797
38,0.21247323,0.19782338,0.8919063,0.9134826
39,0.19952168,0.19237487,0.8939894,0.9171341
40,0.19908704,0.20982364,0.8953332,0.9086115
41,0.20906787,0.19203596,0.89218533,0.9187893
42,0.20248616,0.19248247,0.8942925,0.9165821
43,0.19976258,0.19002883,0.89370763,0.9194495
44,0.19292007,0.18276577,0.89820844,0.9202382
45,0.1965991,0.1893713,0.89636457,0.9180992
46,0.18950804,0.18051106,0.9010372,0.9212888
47,0.1865915,0.17523812,0.8974448,0.92323494
48,0.18873274,0.18326801,0.90186995,0.92225885
49,0.18829487,0.18072861,0.90018916,0.92186683
50,0.1845093,0.17575474,0.9023212,0.92229825
