Epoch,Avg_Train_Loss,Avg_Val_Loss,Avg_Train_Accuracy,Avg_Val_Accuracy
1,0.27154395,0.2489274,0.8961482,0.89566785
2,0.22427331,0.22838823,0.90221024,0.9051037
3,0.2139007,0.22717535,0.9021711,0.9028968
4,0.20942993,0.20273106,0.9035634,0.90932244
5,0.19132313,0.2149813,0.91142434,0.90992016
6,0.1844866,0.19304076,0.9118881,0.9154424
7,0.17847231,0.17029147,0.9159805,0.929262
8,0.17165029,0.19027738,0.9161201,0.9161879
9,0.18483168,0.20693009,0.9133641,0.91802627
10,0.17663479,0.18686935,0.91667706,0.9180252
11,0.16504434,0.18473788,0.91633385,0.9205165
12,0.18252832,0.18362197,0.9114628,0.91837865
13,0.17610304,0.20109534,0.91361356,0.91290057
14,0.16927665,0.16961913,0.91879326,0.92783064
15,0.15741658,0.17294723,0.921077,0.9304697
16,0.16725561,0.15659742,0.9181065,0.9332458
17,0.1653154,0.15641654,0.9174635,0.9356558
18,0.15430228,0.14436387,0.92216766,0.93935025
19,0.15140708,0.1466924,0.92290896,0.93809205
20,0.15178092,0.150721,0.91990364,0.93381006
21,0.15076864,0.15136112,0.9222346,0.9354537
22,0.1551662,0.15764467,0.92357045,0.9304336
23,0.14731199,0.14285932,0.9242058,0.9399706
24,0.15572633,0.15742128,0.9228743,0.93500024
25,0.15396094,0.15130281,0.92253697,0.9363453
26,0.15157644,0.14380597,0.9243983,0.9396818
27,0.15651909,0.16447635,0.922326,0.92863953
28,0.17077357,0.17630158,0.9147512,0.9276523
29,0.15590082,0.16751118,0.92491204,0.9314335
30,0.15815935,0.14294927,0.92408663,0.94370383
31,0.1470006,0.14317384,0.9233746,0.94036067
32,0.14788412,0.14754753,0.92708206,0.9386315
33,0.14163712,0.13944551,0.92714703,0.9419269
34,0.14343052,0.14578998,0.92665875,0.9373234
35,0.14872225,0.13632953,0.9264328,0.9426324
36,0.1378269,0.1301242,0.93034494,0.94531393
37,0.13904187,0.14046335,0.9303625,0.9427428
38,0.14359184,0.17334275,0.9289848,0.9245452
39,0.15100929,0.14008935,0.923825,0.9392684
40,0.1515409,0.13760647,0.92435104,0.94365066
41,0.14251399,0.12596948,0.92806697,0.94781774
42,0.13837431,0.12815244,0.9287338,0.9467508
43,0.13368624,0.12522976,0.9294058,0.9486107
44,0.13198586,0.12413955,0.9296011,0.9500074
45,0.13429646,0.12862085,0.92794126,0.94531184
46,0.13524136,0.12576382,0.9328101,0.9498351
47,0.12676838,0.120392,0.93566793,0.9501073
48,0.13091661,0.12579052,0.9316862,0.9487216
49,0.13225672,0.13334988,0.92764825,0.94352144
50,0.13728037,0.130142,0.9306218,0.9437977
