Epoch,Avg_Train_Loss,Avg_Val_Loss,Avg_Train_Accuracy,Avg_Val_Accuracy
1,235.24794,45.22749,0.31204388,0.47518137
2,50.70986,21.899847,0.4175662,0.5044852
3,25.896282,17.1235,0.45045018,0.48544225
4,25.422365,11.171456,0.4450874,0.4725795
5,14.90718,6.5712566,0.41254646,0.46061662
6,7.478889,4.3980756,0.4062655,0.4127023
7,4.678387,3.5178354,0.41259885,0.40952846
8,3.317871,2.9688542,0.38417017,0.4192941
9,2.897929,2.4248357,0.36428759,0.43121514
10,2.4177306,1.9420336,0.37336367,0.43896484
11,1.9089646,1.5649233,0.41055045,0.44857702
12,1.5389513,1.3169135,0.3794255,0.41890347
13,1.363341,1.20943,0.41622284,0.42930385
14,1.1998621,1.0500722,0.39478612,0.43917412
15,1.06143,0.9140694,0.38629955,0.4476702
16,0.94878197,0.82954526,0.44459438,0.45222518
17,0.854084,0.7731873,0.40692526,0.47828543
18,0.81234235,0.7305454,0.41693264,0.49012277
19,0.7527724,0.7095183,0.37043992,0.48549107
20,0.72642285,0.7038278,0.37625167,0.46023297
21,0.7041126,0.7031533,0.40616307,0.4523856
22,0.7131809,0.70278263,0.414864,0.4328404
23,0.6911376,0.69580495,0.38883623,0.44108537
24,0.67725354,0.6903168,0.39909133,0.44627512
25,0.6528186,0.7088771,0.44407275,0.42711356
26,0.66656137,0.7058788,0.42570028,0.43133372
27,0.6788024,0.67658967,0.4036895,0.4458845
28,0.6655587,0.65513146,0.4197087,0.47075194
29,0.6613174,0.6542111,0.40624523,0.44312918
30,0.6545906,0.6505878,0.39929974,0.45684293
31,0.64397645,0.6493335,0.47346964,0.47749722
32,0.6459685,0.655634,0.38409275,0.4764509
33,0.6474373,0.6575567,0.43523008,0.4780134
34,0.6389918,0.6534571,0.40956673,0.48593053
35,0.6434126,0.6517302,0.40511623,0.48731166
36,0.65015167,0.64484394,0.40914515,0.4929548
37,0.64051914,0.6327499,0.4393924,0.4848842
38,0.6437561,0.6301335,0.44192788,0.4790318
39,0.6408811,0.6274966,0.43599704,0.507666
40,0.63625014,0.6397201,0.4059225,0.4919364
41,0.6304382,0.64015466,0.4793076,0.49195033
42,0.62153655,0.6357109,0.47252524,0.5004046
43,0.6233741,0.6346708,0.47258005,0.505685
44,0.6179962,0.62966996,0.45602372,0.5155692
45,0.63258517,0.6167045,0.46552616,0.54119
46,0.61819,0.6047816,0.45266291,0.55831474
47,0.60679084,0.5961073,0.45589033,0.54944897
48,0.6184255,0.5903768,0.45473036,0.54930943
49,0.6212015,0.5880724,0.4559606,0.5716169
50,0.5886773,0.5856035,0.4708901,0.5749651
51,0.60904855,0.5804113,0.48217535,0.5762416
52,0.5954568,0.580191,0.45615116,0.57725304
53,0.59369177,0.577163,0.4697206,0.57095426
54,0.62900287,0.603169,0.44103348,0.5400251
55,0.60172504,0.6357893,0.4283346,0.5038086
56,0.6062371,0.6014398,0.45105994,0.5441755
57,0.57662046,0.58851403,0.50038946,0.5715541
58,0.5975067,0.5864809,0.48137146,0.5660505
59,0.57889456,0.58204246,0.46800804,0.56996375
60,0.5653787,0.5789263,0.46131504,0.5814872
61,0.5919652,0.57666516,0.4811321,0.58401227
62,0.57985663,0.5809534,0.4982529,0.5713867
63,0.5941529,0.5712726,0.45468512,0.5877232
64,0.58421856,0.58545893,0.48593274,0.5623745
65,0.58592427,0.58982205,0.45649296,0.5538226
66,0.5697173,0.5881305,0.47082102,0.55426896
67,0.58306116,0.5557568,0.50885695,0.58976007
68,0.5639824,0.55120796,0.52011716,0.59080637
69,0.5834115,0.5415997,0.5082603,0.5940848
70,0.5634415,0.5523457,0.4639958,0.5905134
71,0.5571098,0.57725286,0.4894174,0.5683036
72,0.55056894,0.5987924,0.50308096,0.52652067
73,0.5793356,0.5892956,0.4637755,0.5410017
74,0.55426484,0.5639061,0.5057081,0.5944615
75,0.54146415,0.54706144,0.5238555,0.6002581
76,0.56752753,0.53634936,0.47925758,0.6076102
77,0.55089587,0.5292216,0.5374571,0.6092704
78,0.5378498,0.55169713,0.43782392,0.5895229
79,0.5688399,0.5558127,0.45887482,0.58088726
80,0.5460345,0.5437442,0.56910014,0.60134625
81,0.54039866,0.54052705,0.4860387,0.5901088
82,0.5768773,0.5426652,0.4910585,0.60373884
83,0.53270096,0.6150747,0.4674757,0.5248396
84,0.59884226,0.50877553,0.4541349,0.62463033
85,0.5135325,0.50299835,0.51039445,0.61806643
86,0.52173203,0.49748448,0.553231,0.62300503
87,0.5544216,0.56772536,0.5030952,0.5816825
88,0.5478536,0.5411292,0.50474226,0.5861119
89,0.4937468,0.5385959,0.57635766,0.6037737
90,0.54486805,0.5416524,0.5172697,0.6248465
91,0.5482419,0.5448914,0.55521864,0.62012416
92,0.53517795,0.5484063,0.49384767,0.60777766
93,0.52442175,0.5300194,0.55079436,0.62225866
94,0.52226657,0.5188204,0.55194837,0.62043107
95,0.5125527,0.5178018,0.52746403,0.6131906
96,0.52254134,0.50222147,0.53505385,0.6242397
