Epoch,Avg_Train_Loss,Avg_Val_Loss,Avg_Train_Accuracy,Avg_Val_Accuracy
1,0.6947565,0.75788224,0.37661728,0.33300084
2,0.7572709,0.7012922,0.35557118,0.44234097
3,0.68819344,0.76552963,0.38991043,0.44234097
4,0.72745764,0.7142293,0.36082318,0.44234097
5,0.7101118,0.6961251,0.34461224,0.44234097
6,0.6946113,0.69136596,0.371295,0.5622907
7,0.69162136,0.68924755,0.5004597,0.34636578
8,0.6925853,0.6887523,0.31792587,0.34317103
9,0.6914795,0.6884108,0.34350228,0.34560546
10,0.69021523,0.687512,0.38934475,0.34701452
11,0.6921935,0.6904571,0.33363068,0.44401506
12,0.6889748,0.69329196,0.38017222,0.44234097
13,0.6899075,0.6916204,0.38703555,0.44234097
14,0.6890516,0.686307,0.39769435,0.44234097
15,0.68424004,0.68086416,0.36205816,0.44234097
16,0.6769263,0.6835377,0.41771388,0.44234097
17,0.6801785,0.67173123,0.36932164,0.44234097
18,0.6722405,0.6527651,0.3907834,0.670452
19,0.65576833,0.6611954,0.48027343,0.44234097
20,0.66826487,0.6188174,0.3907322,0.6507534
21,0.63902915,0.5920488,0.53596133,0.65117884
22,0.6308555,0.6186001,0.5046172,0.53756976
23,0.65229887,0.52362806,0.45756003,0.6551269
24,0.6032659,0.87429523,0.49836487,0.44234097
25,0.9558984,0.5795578,0.4341797,0.58816963
26,0.6368502,0.6762986,0.45394674,0.35756835
27,0.7157856,0.6822135,0.36814144,0.3469029
28,0.70265883,0.6611016,0.37894675,0.3555664
29,0.67284936,0.6371646,0.43686166,0.51423687
30,0.6406862,0.6264982,0.49145746,0.65850306
31,0.65560406,0.64527434,0.46569765,0.44402206
32,0.6357374,0.6467756,0.43808952,0.44263393
33,0.6395944,0.63775444,0.35574982,0.44288504
