Epoch,Avg_Train_Loss,Avg_Val_Loss,Avg_Train_Accuracy,Avg_Val_Accuracy
1,0.3916871,0.38902152,0.8403919,0.85845065
2,0.3658741,0.38037762,0.85579574,0.85845065
3,0.36387962,0.3764455,0.85532945,0.85845065
4,0.3616603,0.38120177,0.85566276,0.85845065
5,0.35810992,0.37463441,0.85428405,0.85845065
6,0.35717285,0.37395394,0.857369,0.85845065
7,0.35097295,0.35822365,0.85514057,0.85845065
8,0.35492906,0.3639213,0.8562916,0.85845065
9,0.3432097,0.33867857,0.85693604,0.8650093
10,0.32178158,0.32945466,0.8611892,0.8738319
11,0.30500847,0.3055879,0.86881286,0.8740413
12,0.29792318,0.2947225,0.8665392,0.87640953
13,0.2807165,0.28172228,0.8712006,0.8794995
14,0.27032864,0.27235335,0.87220174,0.8843991
15,0.27135715,0.26579294,0.87503296,0.8858166
16,0.25722545,0.2658581,0.87755144,0.8875075
17,0.25931755,0.2529953,0.8769282,0.8913896
18,0.2488955,0.24665356,0.880988,0.89296395
19,0.24170978,0.26213753,0.8822665,0.8881447
20,0.23941633,0.24151893,0.88353956,0.8950431
21,0.23216121,0.23408648,0.8852689,0.8957502
22,0.23202516,0.23310983,0.8885148,0.89760405
23,0.22933729,0.22501898,0.88772565,0.90038496
24,0.22557846,0.21556184,0.88889235,0.90513515
25,0.21925314,0.22502482,0.8910839,0.90091276
26,0.21885519,0.23385482,0.89107394,0.8972636
27,0.2179323,0.21470614,0.88965863,0.90527296
28,0.21210435,0.21014382,0.8934396,0.90551054
29,0.21055189,0.20073776,0.895434,0.9102337
30,0.21520746,0.21078803,0.8933997,0.908702
31,0.21236356,0.21597263,0.8918872,0.9080012
32,0.20485912,0.20454535,0.8941024,0.90926665
33,0.20363744,0.19987,0.8945357,0.9116471
34,0.19321793,0.19303916,0.90182745,0.91450185
35,0.19630402,0.19960304,0.89777,0.91253453
36,0.19226553,0.18751682,0.8986652,0.9178883
37,0.20053455,0.18900532,0.8989503,0.9166911
38,0.19354738,0.19496867,0.9016525,0.91320294
39,0.20133878,0.18550888,0.8979993,0.91824627
40,0.19287689,0.18545553,0.90038306,0.9195626
41,0.18469518,0.18523498,0.90474707,0.91752017
42,0.18644992,0.17587437,0.9033757,0.9227011
43,0.18768083,0.17136723,0.9016123,0.9257014
44,0.18183051,0.18162113,0.9064467,0.9205091
45,0.1791931,0.17139032,0.90718764,0.924382
46,0.17856452,0.17227012,0.9061492,0.92509365
47,0.17303632,0.16375318,0.9084791,0.92908543
48,0.17297448,0.16279154,0.9099479,0.92808235
49,0.17508742,0.17579013,0.9081944,0.9232621
50,0.17741276,0.16901119,0.90880835,0.9260098
51,0.1690609,0.16993454,0.9103997,0.9241222
52,0.18091707,0.1806154,0.90867186,0.92244273
53,0.17366658,0.16453782,0.91060424,0.92891484
54,0.18334201,0.16390848,0.9047663,0.9297263
55,0.16629195,0.159862,0.9116596,0.931057
56,0.1652193,0.15497288,0.9108918,0.9327868
57,0.16405472,0.15646851,0.91105205,0.93223673
58,0.16473825,0.15518555,0.9126812,0.93323565
59,0.16332512,0.15233323,0.9128653,0.9349005
60,0.15924466,0.17124698,0.9146708,0.92568874
61,0.17559104,0.15577096,0.9086595,0.93293065
62,0.158629,0.14739104,0.91460735,0.9368549
63,0.15850858,0.15746471,0.9148188,0.9322523
64,0.15893099,0.15075347,0.9143241,0.9340859
65,0.16139396,0.15170202,0.9152595,0.9340627
66,0.15953606,0.14670722,0.9143152,0.9370748
67,0.1571083,0.15275398,0.9163332,0.93408984
68,0.15632994,0.15118772,0.9132864,0.9350017
69,0.15519531,0.14342837,0.91476566,0.93870854
70,0.15523124,0.1509591,0.9178828,0.93686014
71,0.15065685,0.1457296,0.9194978,0.93745697
72,0.15504204,0.14759342,0.9176928,0.9377061
73,0.15010248,0.15258032,0.91724116,0.9341315
74,0.15121828,0.14746758,0.91930723,0.9372088
75,0.1504429,0.13868819,0.9170779,0.940878
76,0.15045758,0.13769174,0.9184376,0.9419413
77,0.14676476,0.1409347,0.9201343,0.93956983
78,0.15006891,0.1437761,0.91866183,0.93887055
79,0.14430508,0.13914812,0.92103267,0.93962824
80,0.15045953,0.13632524,0.9192534,0.94201964
81,0.14869156,0.1361899,0.9206029,0.94229126
82,0.14445825,0.1330932,0.92056346,0.94285166
83,0.15026128,0.14808953,0.9185997,0.93899035
84,0.1460604,0.13618441,0.9209066,0.94203067
85,0.14354424,0.14413337,0.921128,0.9381367
86,0.14795351,0.13612214,0.9200373,0.9421619
87,0.14180402,0.13731177,0.92253906,0.94209594
88,0.14611512,0.13945456,0.9178041,0.9408164
89,0.14695679,0.13275236,0.91868764,0.94376135
90,0.138857,0.1295041,0.9237506,0.9446063
91,0.14284022,0.13383146,0.9202464,0.9436765
92,0.13832808,0.12721606,0.9234536,0.94724303
93,0.14115651,0.13003491,0.9231676,0.9458426
94,0.13979368,0.13509522,0.92407244,0.94214684
95,0.13600314,0.12505883,0.9258367,0.94762623
96,0.14484775,0.13760081,0.92032343,0.94185686
97,0.13551933,0.1370099,0.9260505,0.9419791
98,0.13360994,0.12879556,0.9251987,0.9451511
99,0.13466996,0.124578014,0.9255131,0.9474398
100,0.13949321,0.13027957,0.92349935,0.9460779
