Epoch,Avg_Train_Loss,Avg_Val_Loss,Avg_Train_Accuracy,Avg_Val_Accuracy
1,24.966486,1.7060803,0.5479494,0.54415894
2,1.0007813,0.6675627,0.542945,0.57993144
3,0.6023056,0.62826586,0.5925869,0.5665194
4,0.5671671,0.5723808,0.61442053,0.64545083
5,0.5264026,0.55561805,0.6518649,0.65833217
6,0.5065599,0.5428053,0.6738151,0.66951805
7,0.49909335,0.5256226,0.6741647,0.68305326
8,0.50343114,0.49806812,0.6698368,0.71389997
9,0.4785779,0.5025227,0.68166053,0.70221883
10,0.4752649,0.48639098,0.68686914,0.71656036
11,0.466267,0.47782934,0.696638,0.72220325
12,0.46146423,0.4685613,0.694853,0.7326435
13,0.4594629,0.4571021,0.6953925,0.74211264
14,0.45587265,0.4733641,0.6986619,0.7322643
15,0.45352373,0.43580073,0.69682574,0.7580102
16,0.4429791,0.4302591,0.71012235,0.75605386
17,0.4376085,0.41704798,0.7095115,0.7635982
18,0.43389517,0.44411832,0.7099822,0.7467272
19,0.42756054,0.4145475,0.71067214,0.7620056
20,0.42339146,0.41600484,0.7167411,0.7617016
21,0.42528608,0.4134181,0.7116566,0.7616164
22,0.42585877,0.39383662,0.7125312,0.7734239
23,0.40889475,0.4027586,0.71963024,0.76794785
24,0.42838547,0.4072611,0.7092231,0.76879925
25,0.41406128,0.3927786,0.7156486,0.77391386
26,0.41046005,0.39327237,0.7280726,0.7755671
27,0.4146675,0.39640725,0.7168416,0.7716978
28,0.41377202,0.3948537,0.71948844,0.7715392
29,0.40001115,0.38434726,0.72464764,0.77533233
30,0.41933307,0.3889534,0.71836627,0.774601
31,0.40536806,0.37682796,0.7164136,0.78044605
32,0.3920226,0.3961698,0.7272792,0.7711264
33,0.40312335,0.38555062,0.7224851,0.7758498
34,0.39664665,0.36799592,0.7291792,0.7851374
35,0.39429018,0.39243132,0.7313934,0.77248144
36,0.39709604,0.3829045,0.72776836,0.77482957
37,0.40807337,0.3694371,0.7189276,0.7828792
38,0.3904119,0.36081606,0.7261969,0.78744376
39,0.38255608,0.36720765,0.732964,0.78429323
40,0.38620988,0.36380297,0.73577285,0.7851588
41,0.3842612,0.35870734,0.73423344,0.7891411
42,0.40137088,0.3553818,0.7281327,0.7930326
43,0.37993595,0.3547073,0.729779,0.790581
44,0.37663138,0.3680278,0.7266602,0.7840688
45,0.37182933,0.35513735,0.7347506,0.7885512
46,0.37911367,0.35656577,0.7327976,0.792481
47,0.37891015,0.38530707,0.7334919,0.7754115
48,0.38639137,0.34181824,0.733886,0.7991179
49,0.37234914,0.38254818,0.74165404,0.7769041
50,0.37215975,0.35464904,0.74144477,0.79226565
51,0.37531295,0.3626451,0.7408904,0.7885397
52,0.37198678,0.34747332,0.7383535,0.79331475
53,0.36784804,0.3449109,0.74132407,0.79549575
54,0.37150508,0.35194367,0.7385274,0.792717
55,0.3647463,0.35199308,0.7410156,0.79222035
56,0.36691666,0.34177762,0.73803955,0.7987001
57,0.35965914,0.33896422,0.737968,0.7972206
58,0.36783648,0.37886184,0.73564714,0.7784156
59,0.37346503,0.33639157,0.73794353,0.79856867
60,0.3682977,0.3539561,0.73796266,0.7889379
61,0.37027612,0.32808992,0.7455666,0.8023943
62,0.36409262,0.36482555,0.73490644,0.7829722
63,0.36055326,0.32290477,0.7409024,0.8038562
64,0.37618303,0.32998598,0.74140656,0.8045072
65,0.367834,0.32957673,0.73387796,0.80323875
66,0.3507135,0.32420623,0.74257106,0.80583405
67,0.3624528,0.33899736,0.74440116,0.79666156
68,0.35503972,0.3186074,0.7420703,0.8099115
69,0.35348013,0.3510573,0.73890233,0.7891074
70,0.35531598,0.32118332,0.73824465,0.8067558
71,0.3448031,0.33008975,0.7467902,0.80335844
72,0.35722747,0.32707447,0.7433064,0.80500615
73,0.36976427,0.32254046,0.7412006,0.80787635
74,0.34432292,0.32211435,0.7506828,0.80583394
75,0.34782755,0.3163231,0.7467422,0.81036174
76,0.33965743,0.31476358,0.74330705,0.81076515
77,0.34145075,0.31328806,0.7481036,0.81277055
78,0.3416748,0.32199204,0.7457226,0.8075824
79,0.3461543,0.33004645,0.7453568,0.8016424
80,0.34446397,0.32296067,0.7528085,0.80604744
81,0.35038707,0.31095874,0.7562604,0.81340325
82,0.3357731,0.311133,0.7512515,0.81213546
83,0.3390699,0.3173375,0.7549294,0.8099158
84,0.35211414,0.31870857,0.7479513,0.80945396
85,0.33913967,0.31487593,0.7516263,0.8111893
86,0.33206072,0.30821168,0.7536168,0.8149102
87,0.32764083,0.31334084,0.7575392,0.81383526
88,0.3331457,0.32274514,0.75661206,0.8083285
89,0.33513588,0.31428802,0.7545915,0.81106144
90,0.34780306,0.32212746,0.7479799,0.80751693
91,0.34308746,0.31199458,0.7563132,0.8131851
92,0.33677036,0.3333121,0.7482052,0.80151427
93,0.33512172,0.30553386,0.75207293,0.8151356
94,0.32529026,0.33047593,0.7618835,0.8044282
95,0.3360431,0.3141433,0.7484018,0.8121057
96,0.32430393,0.30534488,0.7561267,0.81545985
97,0.326553,0.31424293,0.7549154,0.81086683
98,0.33146697,0.31643525,0.7514479,0.8107766
99,0.3274081,0.3096925,0.751215,0.81513953
100,0.33263573,0.30316958,0.7558507,0.8175169
