Epoch,Avg_Train_Loss,Avg_Val_Loss,Avg_Train_Accuracy,Avg_Val_Accuracy
1,0.6754353,0.67900085,0.51138955,0.4673169
2,0.65228003,0.6837514,0.51587945,0.4673169
3,0.64435035,0.66047704,0.52823657,0.4673272
4,0.63156986,0.6326113,0.5395616,0.65509903
5,0.59182787,0.6647421,0.6361308,0.63241744
6,0.63748986,0.6169319,0.5511243,0.59754145
7,0.5818957,0.543327,0.64461035,0.72316146
8,0.5494282,0.51491106,0.6564394,0.69283414
9,0.5468405,0.5647149,0.6546808,0.64955425
10,0.54325116,0.5035769,0.6586628,0.71344316
11,0.5063788,0.49270964,0.6759674,0.7270266
12,0.51034606,0.4952249,0.673182,0.7236166
13,0.50153977,0.4621213,0.67944515,0.7396413
14,0.48386458,0.4654043,0.6846052,0.7399514
15,0.46906117,0.43873858,0.6908104,0.7484858
16,0.47006905,0.4391036,0.6906288,0.7552028
17,0.47227782,0.44270882,0.6920199,0.758366
18,0.45438972,0.40684885,0.70122296,0.7760277
19,0.43111545,0.42897886,0.71102905,0.7558867
20,0.43268612,0.38329285,0.7054176,0.7830797
21,0.41670394,0.37492824,0.7166557,0.78521985
22,0.40786126,0.37904987,0.7258049,0.7834457
23,0.41539913,0.4247906,0.71402466,0.76511973
24,0.42111823,0.43710467,0.71813244,0.75169754
25,0.43779767,0.39092565,0.70423394,0.78232753
26,0.40603364,0.3833485,0.72007513,0.7790284
27,0.40842617,0.36437863,0.7184541,0.7906984
28,0.39548206,0.36567706,0.72121024,0.7878721
29,0.38980156,0.36772382,0.7263176,0.7888831
30,0.39276084,0.36213043,0.7308581,0.7942505
31,0.3913783,0.3364361,0.7305987,0.8040662
32,0.379802,0.35023516,0.73029274,0.7926636
33,0.36853373,0.3312908,0.7333818,0.80611503
34,0.37067443,0.33803004,0.7383552,0.80482423
35,0.36801544,0.33657765,0.73294353,0.8057208
36,0.35463306,0.32969046,0.74771076,0.80753636
37,0.36419517,0.33614278,0.74093086,0.80911666
38,0.35724947,0.3352484,0.7401488,0.8063598
39,0.36456564,0.34200168,0.73763996,0.7996757
40,0.35708323,0.33567023,0.7469189,0.8076949
41,0.3588382,0.32714683,0.7349626,0.8090097
42,0.36511147,0.320596,0.7366443,0.81477976
43,0.35105577,0.3289073,0.743139,0.80571145
44,0.34434387,0.32351688,0.7456935,0.8096695
45,0.33940274,0.31666246,0.757244,0.8151394
46,0.34263355,0.3056509,0.74679446,0.8198053
47,0.3303993,0.30599183,0.75087357,0.8162405
48,0.3324134,0.29871058,0.7531853,0.8188263
49,0.33048388,0.34853297,0.75378543,0.79883313
50,0.33492482,0.30521315,0.74580157,0.8179225
51,0.3271994,0.29364634,0.7593326,0.8221848
52,0.3248106,0.30865377,0.7587409,0.8143623
53,0.32727143,0.29220462,0.7636768,0.8256216
54,0.30976364,0.2859226,0.762089,0.8287002
55,0.3134043,0.3024472,0.7717409,0.81649333
56,0.31169808,0.3301869,0.75698847,0.8021325
57,0.35582674,0.30962685,0.7462354,0.81866175
58,0.32106668,0.31763968,0.75784683,0.8034736
59,0.32675388,0.31687033,0.76307154,0.810375
60,0.32050672,0.28426874,0.7603358,0.82681966
61,0.30672562,0.29378945,0.76858884,0.8255419
62,0.30426082,0.29430807,0.76962215,0.81688625
63,0.30207503,0.29157585,0.7635126,0.8201444
64,0.3016369,0.29395366,0.7648239,0.8191426
65,0.32380238,0.30363226,0.76016456,0.8195494
66,0.30835944,0.28333175,0.76445127,0.8282658
67,0.2862995,0.26725754,0.77411646,0.8354399
68,0.29195857,0.28766164,0.77364,0.82486236
69,0.29585576,0.27717352,0.7711816,0.8295958
70,0.28868708,0.29317573,0.7708532,0.81764174
71,0.29867858,0.2868122,0.771249,0.823976
72,0.2858816,0.2885005,0.77952284,0.82216835
73,0.28101674,0.28091097,0.769424,0.8222417
74,0.28666988,0.28738582,0.7739186,0.82281184
75,0.27193302,0.26609048,0.78102446,0.83199435
76,0.27128586,0.2816556,0.7825418,0.8200487
77,0.27077228,0.25832444,0.7798871,0.8355845
78,0.26796755,0.26764554,0.7887889,0.8326739
79,0.2635375,0.24921179,0.7866951,0.84417224
80,0.2700097,0.2555594,0.7826756,0.8364132
81,0.26700094,0.279266,0.78166944,0.8259384
82,0.2809309,0.26564842,0.7799976,0.83360124
83,0.25764838,0.26033795,0.78725094,0.83339226
84,0.25545064,0.26039606,0.79038906,0.8355695
85,0.2561821,0.27341262,0.79220253,0.82669604
86,0.26815182,0.2995389,0.78406006,0.81859136
87,0.2672064,0.3420905,0.7863458,0.79669976
88,0.28900534,0.27448475,0.7721775,0.8339962
89,0.27167988,0.25143003,0.78877157,0.8417766
