Epoch,Avg_Train_Loss,Avg_Val_Loss,Avg_Train_Accuracy,Avg_Val_Accuracy
1,28.872192,7.4148335,0.59653425,0.6906282
2,4.7229958,1.7994,0.6238531,0.6823104
3,1.6102986,1.0463796,0.61235267,0.6484927
4,0.9854766,0.7055243,0.60811126,0.67585444
5,0.6940965,0.5824979,0.61610764,0.6823231
6,0.5671388,0.47946358,0.61825573,0.6906515
7,0.4825419,0.44657558,0.6273024,0.6846
8,0.46861076,0.42549708,0.6248702,0.695857
9,0.4418552,0.41477495,0.62340564,0.7071119
10,0.43463564,0.39560288,0.6401706,0.71185565
11,0.3998621,0.3831167,0.6420146,0.7184496
12,0.39271253,0.372312,0.67353195,0.7302904
13,0.38479257,0.35778156,0.6781196,0.7394128
14,0.36632705,0.343536,0.6647615,0.7436502
15,0.353762,0.3323167,0.69163054,0.7512748
16,0.3428476,0.32815498,0.6981837,0.76067954
17,0.33094916,0.31134108,0.69492763,0.76089287
18,0.31312746,0.30680877,0.7129898,0.7704685
19,0.31579918,0.28848678,0.7096671,0.7763332
20,0.29914564,0.27937904,0.7012372,0.7822106
21,0.29286873,0.27783003,0.7272595,0.78403425
22,0.28745794,0.26440474,0.7137546,0.7884691
23,0.270328,0.26154533,0.7336165,0.7900751
24,0.26368225,0.2537123,0.72767556,0.7930462
25,0.25695783,0.24972048,0.72426856,0.79431576
26,0.24689412,0.24846582,0.7472412,0.79496217
27,0.24795108,0.24803793,0.733607,0.7946873
28,0.2650319,0.24326357,0.7430872,0.79630286
29,0.25457436,0.24251539,0.73901546,0.7964801
30,0.24878046,0.25017276,0.73679197,0.7933519
31,0.24677615,0.24014536,0.7307868,0.7977188
32,0.23984239,0.2424699,0.7402305,0.7957445
33,0.24213064,0.23470733,0.7389407,0.79939383
34,0.2385399,0.23431526,0.7563658,0.7993355
35,0.24126069,0.24704894,0.7371966,0.79344743
36,0.24544048,0.23291025,0.7427918,0.80049145
37,0.22153485,0.2326949,0.75077486,0.79979086
38,0.24565075,0.22932433,0.73189247,0.80133426
39,0.22962657,0.22865549,0.7444521,0.80132574
40,0.24112928,0.22952163,0.74430674,0.8010105
41,0.2282745,0.22619456,0.7501507,0.80224925
42,0.23112904,0.23196745,0.7462388,0.79970384
43,0.22948605,0.22485667,0.7351384,0.8031706
44,0.22730148,0.22710173,0.73931456,0.80212826
45,0.22118017,0.22513829,0.73897123,0.80222905
46,0.23823494,0.22402206,0.7434253,0.8035888
47,0.22793898,0.23951823,0.73484874,0.79651725
48,0.23252432,0.22114964,0.7349955,0.80464816
49,0.22161774,0.22219665,0.7380921,0.80290204
50,0.2180923,0.22233626,0.75513667,0.8026855
51,0.22019109,0.21741258,0.7460382,0.80542517
52,0.21651947,0.22184962,0.76433843,0.80312496
53,0.21950349,0.21721262,0.7442361,0.80544645
54,0.20843697,0.21756724,0.74827814,0.80496556
55,0.21948247,0.21585593,0.7579831,0.8052925
56,0.21035008,0.21397197,0.7499037,0.80618626
57,0.20419717,0.22356632,0.7547375,0.8019223
58,0.2196084,0.21339041,0.7551164,0.80674464
59,0.20026326,0.21320207,0.7546433,0.8064888
60,0.20779543,0.22587919,0.7478981,0.80136395
61,0.23078308,0.2117162,0.75908375,0.80751735
62,0.20726684,0.21227933,0.74939287,0.8063975
63,0.20141548,0.20962426,0.75736,0.8071087
64,0.2043615,0.20944697,0.7626084,0.80736345
65,0.20562547,0.2115168,0.7499048,0.8071575
66,0.20405039,0.21080042,0.7599602,0.8069612
67,0.19494128,0.20707275,0.75618124,0.80869347
68,0.20241088,0.2111738,0.7489171,0.8064039
69,0.21735257,0.20885034,0.74522007,0.80733055
70,0.19903594,0.20769316,0.7631437,0.8084642
71,0.19187097,0.21047482,0.7608,0.80647606
72,0.1984047,0.20508131,0.758155,0.80974436
73,0.18941689,0.20685048,0.7629347,0.8089281
74,0.19295172,0.2069732,0.7620281,0.8082954
75,0.20268932,0.20594802,0.73308134,0.8081882
76,0.19633377,0.20254168,0.7622775,0.8097911
77,0.18427917,0.20202509,0.7571478,0.8103494
78,0.19365191,0.20346303,0.7550379,0.8092104
79,0.18958542,0.20316672,0.73822635,0.8094068
80,0.18459134,0.20108674,0.7548733,0.8106615
81,0.18701649,0.2136607,0.7780821,0.80588484
82,0.1912204,0.19831064,0.7584178,0.81164974
83,0.17971426,0.20329951,0.77465606,0.81024325
84,0.18204117,0.19808117,0.7514426,0.81211996
85,0.18459229,0.19773445,0.77187407,0.81137055
86,0.17571953,0.19843405,0.7538941,0.81137055
87,0.17039447,0.20146778,0.76222414,0.81073684
88,0.19852555,0.19869553,0.7554524,0.81079733
89,0.18234113,0.19952033,0.75739324,0.8119066
90,0.1877333,0.2100512,0.75321054,0.8075906
91,0.19101977,0.19391453,0.7559859,0.8135381
92,0.19020373,0.19974619,0.7466831,0.8110893
93,0.18848014,0.21825011,0.7529701,0.80348694
94,0.18558878,0.20097524,0.7497594,0.81126755
95,0.18699835,0.2102462,0.74563897,0.80651003
96,0.19250588,0.19798379,0.7588086,0.81292135
97,0.17773011,0.1961161,0.7646727,0.8117452
98,0.18134108,0.19254099,0.764951,0.81358796
99,0.17516379,0.19207758,0.7602459,0.8143087
100,0.17431682,0.2033702,0.76196593,0.8098452
