Epoch,Avg_Train_Loss,Avg_Val_Loss,Avg_Train_Accuracy,Avg_Val_Accuracy
1,0.6814892,0.6653094,0.39553437,0.38425717
2,0.6639639,0.6569731,0.378262,0.38425717
3,0.6511368,0.6453295,0.3827123,0.3912746
4,0.63330567,0.6337025,0.40096435,0.46829778
5,0.6171427,0.59844947,0.4220794,0.73598737
6,0.5609281,0.5530737,0.62869513,0.7530379
7,0.5660853,0.5687094,0.6361095,0.6913563
8,0.5285443,0.46399873,0.65794283,0.7361169
9,0.4276685,0.4097174,0.69363546,0.7452711
10,0.35767728,0.44908962,0.7001502,0.73175526
11,0.38225752,0.32416907,0.68952054,0.76713866
12,0.31446478,0.28859052,0.7227721,0.78131366
13,0.29582232,0.27085614,0.72415704,0.7891686
14,0.2825095,0.28869396,0.7037988,0.7799199
15,0.29230705,0.3436932,0.71726584,0.7553456
16,0.31076998,0.26181903,0.7120786,0.7885328
17,0.28049904,0.27724257,0.7160937,0.78199935
18,0.27654,0.25319505,0.7227122,0.79245603
19,0.26487702,0.26721033,0.72583175,0.78438663
20,0.28266844,0.2496532,0.72289985,0.79024386
21,0.2580553,0.26375848,0.72568977,0.7883895
22,0.24912617,0.24493606,0.7586112,0.7929963
23,0.25446638,0.25724098,0.733816,0.78685987
24,0.26328206,0.25376055,0.7315922,0.78804874
25,0.2889698,0.23692498,0.7203619,0.7958963
26,0.25924644,0.24928723,0.73018456,0.7919221
27,0.24399981,0.24679919,0.74006075,0.7903394
28,0.2509721,0.23030394,0.7427615,0.79751503
29,0.22917041,0.22779165,0.73595345,0.7994554
30,0.2207154,0.22911644,0.7525906,0.7989788
31,0.21747915,0.23553959,0.730389,0.79677516
32,0.22036016,0.24060239,0.73994565,0.7948932
33,0.23301086,0.29888734,0.731898,0.77419114
34,0.257805,0.2290398,0.732666,0.7964058
35,0.23917226,0.2527982,0.7376193,0.7896643
36,0.23147073,0.22880094,0.7296681,0.7959409
37,0.22238444,0.21792805,0.73928636,0.80176735
38,0.22201991,0.21833387,0.74510705,0.8034073
39,0.20678869,0.21174923,0.7426928,0.8061608
40,0.20045099,0.22788502,0.7688122,0.79922086
41,0.22211985,0.2546491,0.7353047,0.78907305
42,0.2364246,0.20393503,0.73762155,0.80828905
43,0.21659248,0.21756682,0.7324488,0.8028978
44,0.20405012,0.22859894,0.7520555,0.7986381
45,0.21431522,0.20334214,0.75065553,0.81007767
46,0.20168766,0.21387394,0.7529068,0.8063901
47,0.19832703,0.20317268,0.759505,0.8090565
48,0.19285303,0.2181831,0.7628757,0.8023777
49,0.19816804,0.19342723,0.74740404,0.8140572
50,0.19978623,0.19236267,0.7482903,0.815091
51,0.17338017,0.19250476,0.7572567,0.8158277
52,0.18225974,0.19875364,0.76455116,0.81247663
53,0.19942272,0.20133848,0.7577269,0.8093527
54,0.2092554,0.18905059,0.7452556,0.8165463
55,0.18903753,0.19713545,0.75843066,0.81327057
56,0.1910437,0.19663185,0.7468292,0.81131005
57,0.18662713,0.19080377,0.75135773,0.8154838
58,0.21530804,0.18149598,0.7629718,0.8174072
59,0.17920864,0.1867418,0.7521808,0.81742734
60,0.17429513,0.17821193,0.7554414,0.8217136
61,0.17508274,0.1781718,0.7639341,0.8199898
62,0.16351895,0.17688724,0.75811636,0.8198932
63,0.17667429,0.16944687,0.7604083,0.82313704
64,0.16387698,0.17006682,0.7723183,0.82438964
65,0.18147849,0.17596827,0.7764504,0.821703
66,0.17341805,0.16857041,0.76290745,0.8246348
67,0.15971681,0.17579082,0.76140183,0.82145035
68,0.18435988,0.17910859,0.75490254,0.8195981
69,0.18836121,0.16413955,0.75430787,0.82638305
70,0.17659765,0.18914022,0.77152,0.8176959
71,0.16471341,0.16385417,0.7526697,0.8258215
72,0.15511315,0.17467332,0.74714863,0.8211415
73,0.16601448,0.17012252,0.7719261,0.8224397
74,0.15942095,0.16319399,0.76078403,0.8277057
75,0.1623545,0.15918976,0.7659507,0.8262323
76,0.1483359,0.16052498,0.76481104,0.82850283
77,0.1519643,0.15647219,0.76226974,0.8295558
78,0.14447859,0.15155526,0.76641816,0.828575
79,0.1429154,0.1612346,0.7758741,0.8256273
80,0.15818582,0.14626059,0.77556866,0.8317945
81,0.13693532,0.14557308,0.78281486,0.83225626
82,0.1404147,0.14406416,0.7735418,0.83209914
83,0.14518397,0.15566173,0.7740271,0.8276006
84,0.15080683,0.14362615,0.7719266,0.8316353
85,0.15770227,0.151552,0.75936294,0.82926077
86,0.14912139,0.1462458,0.7682748,0.8310483
87,0.1517602,0.19656596,0.7698363,0.81534684
88,0.1834298,0.15686113,0.74875605,0.8277258
89,0.1526357,0.17837717,0.7601468,0.8179305
90,0.16886914,0.14503415,0.7631344,0.831924
91,0.14749959,0.14661068,0.76350135,0.83217454
92,0.1375953,0.14613456,0.7793698,0.8325768
93,0.13153146,0.13835432,0.7872917,0.83515835
94,0.12893735,0.1407665,0.77523756,0.83357036
95,0.13747858,0.14000101,0.763993,0.83350986
96,0.15537575,0.1479732,0.7716352,0.8321671
97,0.14945188,0.15006174,0.752797,0.8320917
98,0.14254677,0.13824832,0.77797353,0.83468384
99,0.14857978,0.1402716,0.779508,0.8329048
100,0.13780855,0.1706949,0.7722744,0.82681936
